Version: 0.10
hindrance: 5
slot: 2
enchantment: 0

[[Weapon: 35]]
name: crossbow
formatFlags: 65536
symbol: 40
color: 0, 0, 255
amount: 1
weight: 40
active: false
speed: 30
hitBonus: 25
baseDamage: 15
numDice: 2
diceMax: 8
enchantment: 0
hands: 2
effect: 0
range: 20
ammoType: 2
broken: 0

[[Weapon: 36]]
name: dagger
formatFlags: 65536
symbol: 40
color: 255, 63, 63
amount: 1
weight: 4
active: false
speed: 10
hitBonus: 25
baseDamage: 8
numDice: 1
diceMax: 4
enchantment: 0
hands: 1
effect: 0
range: 1
ammoType: 0
broken: 0

[[Corpse: 37]]
name: deer corpse
formatFlags: 65536
symbol: 37
color: 127, 95, 63
amount: 1
weight: 100
active: false
nutrition: 2800
eatTime: 100
rotTime: 2000

[[Armor: 38]]
name: elven sandals
formatFlags: 65544
symbol: 41
color: 127, 255, 0
amount: 1
weight: 10
active: false
defense: 10
hindrance: 0
slot: 1
enchantment: 0

[[Weapon: 39]]
name: foresters axe
formatFlags: 65536
symbol: 40
color: 203, 203, 203
amount: 1
weight: 40
active: false
speed: 15
hitBonus: 15
baseDamage: 12
numDice: 2
diceMax: 4
enchantment: 0
hands: 2
effect: 0
range: 1
ammoType: 0
broken: 0

[[Corpse: 40]]
name: goblin corpse
formatFlags: 65536
symbol: 37
color: 0, 255, 0
amount: 1
weight: 50
active: false
nutrition: 900
eatTime: 30
rotTime: 2000

[[Gold: 41]]
name: gold
formatFlags: 4
symbol: 36
color: 242, 210, 0
amount: 1
weight: 0
active: false

[[Weapon: 42]]
name: halberd
formatFlags: 65536
symbol: 40
color: 255, 255, 0
amount: 1
weight: 80
active: false
speed: 30
hitBonus: 40
baseDamage: 20
numDice: 2
diceMax: 10
enchantment: 0
hands: 2
effect: 0
range: 1
ammoType: 0
broken: 0

[[Weapon: 43]]
name: hammer
formatFlags: 65536
symbol: 40
color: 255, 127, 0
amount: 1
weight: 40
active: false
speed: 15
hitBonus: 15
baseDamage: 12
numDice: 1
diceMax: 4
enchantment: 0
hands: 2
effect: 0
range: 1
ammoType: 0
broken: 0

[[Armor: 44]]
name: iron boots
formatFlags: 65544
symbol: 41
color: 203, 203, 203
amount: 1
weight: 30
active: false
defense: 15
hindrance: 5
slot: 1
enchantment: 0

[[Armor: 45]]
name: iron helmet
formatFlags: 65536
symbol: 41
color: 203, 203, 203
amount: 1
weight: 30
active: false
defense: 5
hindrance: 2
slot: 2
enchantment: 1

[[Corpse: 46]]
name: kobold corpse
formatFlags: 65536
symbol: 37
color: 255, 63, 207
amount: 1
weight: 40
active: false
nutrition: 800
eatTime: 30
rotTime: 3200

[[Armor: 47]]
name: leather armor
formatFlags: 65536
symbol: 41
color: 127, 95, 63
amount: 1
weight: 30
active: false
defense: 10
hindrance: 1
slot: 0
enchantment: 0

[[Armor: 48]]
name: leather boots
formatFlags: 65544
symbol: 41
color: 127, 95, 63
amount: 1
weight: 20
active: false
defense: 10
hindrance: 2
slot: 1
enchantment: 0

[[Armor: 49]]
name: leather cap
formatFlags: 65536
symbol: 41
color: 127, 95, 63
amount: 1
weight: 20
active: false
defense: 3
hindrance: 1
slot: 2
enchantment: 1

[[Weapon: 50]]
name: lightsaber
formatFlags: 65536
symbol: 40
color: 255, 0, 0
amount: 1
weight: 1
active: false
speed: 8
hitBonus: 30
baseDamage: 1
numDice: 10
diceMax: 20
enchantment: 30
hands: 1
effect: 0
range: 1
ammoType: 0
broken: -1

[[Tool: 51]]
name: lockpick
formatFlags: 65536
symbol: 91
color: 0, 0, 0
amount: 1
weight: 5
active: false
tool: 0

[[Weapon: 52]]
name: longbow
formatFlags: 65536
symbol: 40
color: 0, 191, 191
amount: 1
weight: 30
active: false
speed: 20
hitBonus: 25
baseDamage: 10
numDice: 2
diceMax: 6
enchantment: 0
hands: 2
effect: 0
range: 30
ammoType: 1
broken: 0

[[Weapon: 53]]
name: longsword
formatFlags: 65536
symbol: 40
color: 191, 0, 0
amount: 1
weight: 30
active: false
speed: 20
hitBonus: 20
baseDamage: 18
numDice: 2
diceMax: 8
enchantment: 0
hands: 1
effect: 0
range: 1
ammoType: 0
broken: 0

[[Food: 54]]
name: meat (raw)
formatFlags: 65536
symbol: 37
color: 255, 63, 63
amount: 1
weight: 6
active: false
nutrition: 500
eatTime: 100

[[Tool: 55]]
name: metal scrap
formatFlags: 65536
symbol: 91
color: 63, 63, 63
amount: 1
weight: 5
active: false
tool: 1

[[Potion: 56]]
name: full heal potion
formatFlags: 65536
symbol: 33
color: 191, 0, 0
amount: 1
weight: 3
active: false
potion: 2

[[Potion: 57]]
name: haste potion
formatFlags: 65536
symbol: 33
color: 0, 0, 255
amount: 1
weight: 3
active: false
potion: 3

[[Potion: 58]]
name: heal potion
formatFlags: 65536
symbol: 33
color: 255, 0, 0
amount: 1
weight: 3
active: false
potion: 1

[[Potion: 59]]
name: minor heal potion
formatFlags: 65536
symbol: 33
color: 255, 63, 63
amount: 1
weight: 3
active: false
potion: 0

[[Armor: 60]]
name: platemail
formatFlags: 65536
symbol: 41
color: 95, 95, 95
amount: 1
weight: 60
active: false
defense: 25
hindrance: 7
slot: 0
enchantment: 0

[[Corpse: 61]]
name: rat corpse
formatFlags: 65536
symbol: 37
color: 191, 191, 0
amount: 1
weight: 10
active: false
nutrition: 500
eatTime: 20
rotTime: 3200

[[Food: 62]]
name: sandwich
formatFlags: 65536
symbol: 37
color: 255, 127, 0
amount: 1
weight: 6
active: false
nutrition: 2500
eatTime: 100

[[SpellBook: 63]]
name: voodoo book named 'Cripple'
formatFlags: 65536
symbol: 21
color: 229, 153, 255
amount: 1
weight: 40
active: false
spell: 0

[[SpellBook: 64]]
name: voodoo book named 'Feast'
formatFlags: 65536
symbol: 21
color: 210, 76, 255
amount: 1
weight: 40
active: false
spell: 3

[[SpellBook: 65]]
name: elemental book named 'Fireball'
formatFlags: 65552
symbol: 21
color: 153, 203, 255
amount: 1
weight: 40
active: false
spell: 7

[[SpellBook: 66]]
name: voodoo book named 'Frenzy'
formatFlags: 65536
symbol: 21
color: 223, 127, 255
amount: 1
weight: 40
active: false
spell: 1

[[SpellBook: 67]]
name: voodoo book named 'Inner Demons'
formatFlags: 65536
symbol: 21
color: 216, 102, 255
amount: 1
weight: 40
active: false
spell: 2

[[Armor: 68]]
name: scalemail
formatFlags: 65536
symbol: 41
color: 127, 127, 127
amount: 1
weight: 50
active: false
defense: 20
hindrance: 5
slot: 0
enchantment: 0

[[Weapon: 69]]
name: shortbow
formatFlags: 65536
symbol: 40
color: 63, 255, 255
amount: 1
weight: 20
active: false
speed: 15
hitBonus: 25
baseDamage: 8
numDice: 2
diceMax: 4
enchantment: 0
hands: 2
effect: 0
range: 30
ammoType: 1
broken: 0

[[Weapon: 70]]
name: shortsword
formatFlags: 65536
symbol: 40
color: 255, 0, 0
amount: 1
weight: 20
active: false
speed: 15
hitBonus: 23
baseDamage: 12
numDice: 1
diceMax: 8
enchantment: 0
hands: 1
effect: 0
range: 1
ammoType: 0
broken: 0

[[Weapon: 71]]
name: slingshot
formatFlags: 65536
symbol: 40
color: 63, 63, 255
amount: 1
weight: 4
active: false
speed: 10
hitBonus: 30
baseDamage: 6
numDice: 2
diceMax: 4
enchantment: 0
hands: 2
effect: 0
range: 10
ammoType: 3
broken: 0

[[Corpse: 72]]
name: snake corpse
formatFlags: 65536
symbol: 37
color: 95, 191, 0
amount: 1
weight: 10
active: false
nutrition: 400
eatTime: 20
rotTime: 2000

[[Weapon: 73]]
name: staff
formatFlags: 65536
symbol: 40
color: 0, 0, 0
amount: 1
weight: 40
active: false
speed: 20
hitBonus: 40
baseDamage: 10
numDice: 2
diceMax: 8
enchantment: 0
hands: 2
effect: 0
range: 1
ammoType: 0
broken: 0

[[Armor: 74]]
name: voodoo mask
formatFlags: 65536
symbol: 41
color: 0, 255, 0
amount: 1
weight: 20
active: false
defense: 4
hindrance: 2
slot: 2
enchantment: 0

[[Weapon: 75]]
name: warhammer
formatFlags: 65536
symbol: 40
color: 191, 95, 0
amount: 1
weight: 60
active: false
speed: 20
hitBonus: 15
baseDamage: 10
numDice: 3
diceMax: 10
enchantment: 0
hands: 2
effect: 0
range: 1
ammoType: 0
broken: 0

[[Armor: 76]]
name: wizard hat
formatFlags: 65536
symbol: 41
color: 191, 0, 255
amount: 1
weight: 10
active: false
defense: 1
hindrance: 0
slot: 2
enchantment: 0

[[Armor: 77]]
name: wizard robe
formatFlags: 65536
symbol: 41
color: 191, 0, 255
amount: 1
weight: 20
active: false
defense: 10
hindrance: 2
slot: 0
enchantment: 0

[[Corpse: 78]]
name: wolf corpse
formatFlags: 65536
symbol: 37
color: 127, 63, 0
amount: 1
weight: 100
active: false
nutrition: 1400
eatTime: 80
rotTime: 2000

[[Factory: 1]]
#creatures: 10
_spawnName: bear
_creature: @2
_spawnName: boar
_creature: @4
_spawnName: carnitree
_creature: @6
_spawnName: deer
_creature: @8
_spawnName: goblin
_creature: @10
_spawnName: kobold
_creature: @12
_spawnName: rat
_creature: @14
_spawnName: snake
_creature: @16
_spawnName: wisp
_creature: @18
_spawnName: wolf
_creature: @20
#items: 57
_spawnName: apple
_item: @22
_spawnName: arrows
_item: @23
_spawnName: axe
_item: @24
_spawnName: bandana
_item: @25
_spawnName: bear corpse
_item: @26
_spawnName: berries
_item: @27
_spawnName: boar corpse
_item: @28
_spawnName: bolts
_item: @29
_spawnName: bread
_item: @30
_spawnName: bullets
_item: @31
_spawnName: chainmail
_item: @32
_spawnName: club
_item: @33
_spawnName: cooking pot
_item: @34
_spawnName: crossbow
_item: @35
_spawnName: dagger
_item: @36
_spawnName: deer corpse
_item: @37
_spawnName: elvensandals
_item: @38
_spawnName: foresters axe
_item: @39
_spawnName: goblin corpse
_item: @40
_spawnName: gold
_item: @41
_spawnName: halberd
_item: @42
_spawnName: hammer
_item: @43
_spawnName: ironboots
_item: @44
_spawnName: ironhelmet
_item: @45
_spawnName: kobold corpse
_item: @46
_spawnName: leatherarmor
_item: @47
_spawnName: leatherboots
_item: @48
_spawnName: leathercap
_item: @49
_spawnName: lightsaber
_item: @50
_spawnName: lockpick
_item: @51
_spawnName: longbow
_item: @52
_spawnName: longsword
_item: @53
_spawnName: meat
_item: @54
_spawnName: metalscrap
_item: @55
_spawnName: pFullHeal
_item: @56
_spawnName: pHaste
_item: @57
_spawnName: pHeal
_item: @58
_spawnName: pMinorHeal
_item: @59
_spawnName: platemail
_item: @60
_spawnName: rat corpse
_item: @61
_spawnName: sandwich
_item: @62
_spawnName: sbCripple
_item: @63
_spawnName: sbFeast
_item: @64
_spawnName: sbFire
_item: @65
_spawnName: sbFrenzy
_item: @66
_spawnName: sbInnerDemons
_item: @67
_spawnName: scalemail
_item: @68
_spawnName: shortbow
_item: @69
_spawnName: shortsword
_item: @70
_spawnName: slingshot
_item: @71
_spawnName: snake corpse
_item: @72
_spawnName: staff
_item: @73
_spawnName: voodoomask
_item: @74
_spawnName: warhammer
_item: @75
_spawnName: wizardhat
_item: @76
_spawnName: wizardrobe
_item: @77
_spawnName: wolf corpse
_item: @78
